top1,wom,sm,walk,billboard,patronage,importantconvenience,importantvariety,importantprice,importanthealthy,importanttaste,importantambience,chipotleconvenient,chipotlevariety,chipotleprice,chipotlehealthy,chipotletaste,chipotleambience,female,age,income,plan,spending,buylocal,healthyimportanttome,
Chick-Fil-A,0,0,1,0,0,5,5,4,5,5,5,3,4,3,5,4,3,0,56,67113,2,4,2,2,
Chick fila,0,0,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,34,15315,3,4,1,1,
Chick-Fil-A,0,0,1,0,0,5,5,5,5,5,4,3,3,3,4,4,4,,,,,,,,
Chick-Fil-A,0,0,1,0,0,5,5,5,5,5,5,3,5,5,5,5,3,1,53,50400,3,2,1,1,
chik-fil-a,1,0,0,0,2,4,3,5,4,5,4,3,3,2,4,3,3,0,52,33460,2,4,2,1,
Starbucks,0,0,0,0,0,4,4,5,5,5,4,3,2,4,5,4,3,1,51,58698,1,3,2,2,
In-n-out,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,33,27951,1,1,1,1,
KFC,0,0,1,0,0,3,3,4,4,4,4,2,3,3,3,4,3,1,69,51750,2,4,2,2,
El Pollo Loco,1,0,0,0,0,5,4,5,5,5,5,5,3,5,5,4,4,0,52,32170,3,3,2,2,
El Pollo Loco,0,1,0,0,0,5,4,4,4,4,3,1,4,3,4,4,3,0,34,28436,2,3,2,2,
El Pollo Loco,0,0,0,0,3,,,,,,,,,,,,,0,19,22538,3,3,2,1,
In-n-out,1,0,0,0,0,5,3,4,5,5,4,5,3,1,5,4,4,0,20,19401,1,3,2,1,
El Pollo Loco,1,0,0,0,0,5,4,4,4,4,4,4,4,3,3,4,3,1,67,32272,2,2,1,2,
El Pollo Loco,0,0,1,0,0,4,4,4,4,5,4,4,3,4,3,4,3,0,54,86769,2,4,2,2,
Panera bread,1,0,0,0,0,5,5,5,5,5,4,4,4,4,5,5,5,0,52,42532,1,3,2,1,
Chipotle,1,0,0,0,0,5,4,5,5,5,4,3,3,2,3,4,4,0,25,17758,2,1,1,1,
Chick fil a,1,0,0,0,0,5,4,5,5,5,5,3,3,3,3,3,3,0,46,48366,3,2,2,2,
El Pollo Loco,1,0,0,0,0,4,4,5,5,5,4,3,3,4,5,4,2,0,31,47694,1,4,2,1,
Sub Way,0,0,1,0,2,5,4,5,4,5,4,4,4,4,5,5,4,1,33,37626,3,2,1,2,
El Pollo Loco,1,0,0,0,0,2,5,5,5,5,4,5,5,3,5,5,4,0,34,61260,2,2,3,1,
Wendys,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,1,23,20712,1,3,1,1,
In-n-out,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,22,19033,2,3,3,1,
El Pollo Loco,1,0,0,0,0,5,3,3,3,5,3,4,3,3,3,4,2,0,28,59410,1,3,1,2,
El Pollo Loco,0,0,1,0,4,5,5,5,5,5,4,2,4,3,4,5,4,0,22,46774,2,1,2,2,
In-n-out,0,0,0,0,0,5,4,5,5,5,4,4,4,4,4,4,4,0,56,44952,2,3,2,1,
arbys,0,0,1,0,0,3,4,4,4,5,4,3,5,4,4,5,5,1,51,25063,3,4,2,2,
El Pollo Loco,1,0,0,0,0,5,5,5,5,5,5,3,4,3,4,5,3,0,33,20022,1,2,2,2,
Wendy's,1,0,0,0,0,5,4,5,4,5,4,5,4,3,4,4,3,0,55,39912,2,4,2,2,
MacDonalds,0,0,1,0,0,5,5,4,4,5,4,5,4,5,5,5,5,1,66,16627,2,2,3,2,
MacDonalds,0,0,1,0,0,5,4,4,4,4,4,4,3,5,5,5,5,1,48,16897,2,2,1,2,
El Pollo Loco,0,1,0,0,2,4,3,3,4,5,4,2,3,3,4,3,3,0,33,77253,3,4,2,2,
In-n-out,0,0,1,0,0,4,4,5,5,5,5,3,3,3,3,3,3,0,49,54750,1,4,2,1,
El Pollo Loco,1,0,0,0,0,5,5,5,5,5,5,3,4,3,4,4,4,0,29,35972,1,4,1,1,
El Pollo Loco,1,0,0,0,0,4,3,5,5,5,4,3,3,2,5,4,4,0,33,35714,1,3,2,1,
Panera,1,0,0,0,0,5,5,5,5,5,5,2,2,3,4,5,4,0,18,18631,1,2,1,2,
chickfila,0,0,1,0,0,4,4,4,4,4,4,3,3,3,3,3,3,0,49,28872,2,2,2,2,
El Pollo Loco,1,0,0,0,0,5,5,5,5,5,4,5,5,3,5,5,4,0,40,31310,1,4,2,1,
Martins,0,0,0,0,2,,,,,,,,,,,,,0,20,23930,2,3,3,2,
Taco Bell,1,0,0,0,0,4,3,5,4,5,3,4,3,2,5,5,4,0,29,11059,2,3,2,3,
Subway,0,0,1,1,0,5,4,5,4,4,4,5,5,5,5,5,5,1,30,24737,3,2,2,2,
Starbucks,0,0,1,0,0,4,4,5,4,5,4,3,4,2,4,4,3,0,31,27458,2,3,2,2,
The Market,1,0,0,0,0,4,4,4,5,5,4,4,5,4,5,5,5,0,33,44358,2,2,2,2,
El Pollo Loco,1,0,0,0,0,5,4,5,5,5,4,4,3,4,4,4,3,0,38,24582,2,3,2,2,
Arbys,0,0,0,0,0,4,4,5,5,5,4,4,5,4,5,5,4,1,34,39134,1,4,1,1,
El Pollo Loco,1,0,0,0,1,4,4,5,4,5,3,4,4,2,5,5,3,1,45,11601,2,3,2,2,
Pizza Hut,1,0,0,0,1,4,5,5,4,5,3,3,4,2,5,5,4,1,39,45758,2,3,2,2,
El Pollo Loco,0,0,1,0,0,5,5,5,5,5,4,4,5,4,5,5,4,0,33,57942,3,2,2,2,
Panera,0,0,1,0,0,4,4,5,5,4,4,4,4,3,5,5,5,0,29,24323,1,4,2,1,
Jason's Deli,0,0,1,0,0,3,4,4,4,5,3,3,4,2,4,4,3,0,45,89076,2,4,1,2,
El Pollo Loco,0,0,1,0,0,3,3,5,3,5,5,3,2,4,5,4,2,0,33,87381,2,3,2,3,
